times, acuuracy
0,0.021875
1,0.021875
2,0.021875
3,0.021875
4,0.021875
5,0.021875
6,0.021875
7,0.021875
8,0.021875
9,0.021875
10,0.021875
11,0.021875
12,0.021875
13,0.021875
14,0.021875
15,0.021875
16,0.021875
17,0.021875
18,0.021875
19,0.021875
20,0.0221875
21,0.0246875
22,0.0234375
23,0.024375
24,0.0228125
25,0.0309375
26,0.0321875
27,0.024375
28,0.03
29,0.031875
30,0.0246875
31,0.02625
32,0.0253125
33,0.0275
34,0.024375
35,0.0246875
36,0.04
37,0.0259375
38,0.03625
39,0.033125
40,0.0321875
41,0.03125
42,0.0253125
43,0.0475
44,0.04
45,0.040625
46,0.0403125
47,0.0521875
48,0.053125
49,0.0528125
50,0.0490625
51,0.04875
52,0.0584375
53,0.058125
54,0.0665625
55,0.061875
56,0.066875
57,0.0653125
58,0.0803125
59,0.0775
60,0.066875
61,0.0625
62,0.078125
63,0.1078125
64,0.0878125
65,0.078125
66,0.09125
67,0.0821875
68,0.1096875
69,0.0903125
70,0.130625
71,0.1396875
72,0.1246875
73,0.145625
74,0.155625
75,0.1565625
76,0.1678125
77,0.1246875
78,0.184375
79,0.178125
80,0.1896875
81,0.1825
82,0.2115625
83,0.18125
84,0.2159375
85,0.2075
86,0.26375
87,0.255
88,0.250625
89,0.256875
90,0.2615625
91,0.2578125
92,0.274375
93,0.2709375
94,0.2653125
95,0.3040625
96,0.2846875
97,0.3
98,0.3225
99,0.3071875
100,0.319375
101,0.3196875
102,0.3359375
103,0.3440625
104,0.3221875
105,0.3628125
106,0.35375
107,0.363125
108,0.3903125
109,0.375
110,0.386875
111,0.3671875
112,0.3828125
113,0.38875
114,0.3971875
115,0.398125
116,0.3996875
117,0.415
118,0.431875
119,0.411875
120,0.418125
121,0.4165625
122,0.415625
123,0.4253125
124,0.42375
125,0.4484375
126,0.461875
127,0.4665625
128,0.4603125
129,0.4596875
130,0.48375
131,0.4646875
132,0.4859375
133,0.4671875
134,0.4646875
135,0.4875
136,0.48125
137,0.473125
138,0.5075
139,0.505
140,0.510625
141,0.498125
142,0.531875
143,0.515625
144,0.5275
145,0.52125
146,0.5215625
147,0.4978125
148,0.5434375
149,0.5396875
150,0.5453125
151,0.54125
152,0.5525
153,0.5553125
154,0.550625
155,0.55
156,0.5525
157,0.570625
158,0.5590625
159,0.5628125
160,0.5621875
161,0.5646875
162,0.5559375
163,0.573125
164,0.5721875
165,0.5896875
166,0.583125
167,0.57875
168,0.595
169,0.581875
170,0.5965625
171,0.58625
172,0.5946875
173,0.604375
174,0.583125
175,0.5815625
176,0.5990625
177,0.60375
178,0.6215625
179,0.6
180,0.595625
181,0.6021875
182,0.6078125
183,0.62625
184,0.6125
185,0.6128125
186,0.621875
187,0.6215625
188,0.6403125
189,0.6428125
190,0.6215625
191,0.63625
192,0.618125
193,0.6415625
194,0.6134375
195,0.635625
196,0.65375
197,0.64125
198,0.6265625
199,0.6403125
200,0.6578125
201,0.65875
202,0.6478125
203,0.65625
204,0.6478125
205,0.6628125
206,0.620625
207,0.6575
208,0.6540625
209,0.6396875
210,0.6609375
211,0.6615625
212,0.6609375
213,0.660625
214,0.6575
215,0.6690625
216,0.6434375
217,0.6465625
218,0.639375
219,0.6665625
220,0.665625
221,0.67
222,0.6678125
223,0.6578125
224,0.6709375
225,0.6728125
226,0.6696875
227,0.6590625
228,0.68
229,0.669375
230,0.6715625
231,0.6740625
232,0.66
233,0.675
234,0.6703125
235,0.669375
236,0.6978125
237,0.6821875
238,0.67625
239,0.685625
240,0.6709375
241,0.6890625
242,0.68875
243,0.693125
244,0.69
245,0.686875
246,0.651875
247,0.6975
248,0.7003125
249,0.6840625
250,0.7015625
251,0.6975
252,0.704375
253,0.68375
254,0.6846875
255,0.6928125
256,0.6828125
257,0.685625
258,0.6934375
259,0.6996875
260,0.700625
261,0.6965625
262,0.705
263,0.6778125
264,0.710625
265,0.699375
266,0.70375
267,0.6884375
268,0.7059375
269,0.686875
270,0.6978125
271,0.70875
272,0.7109375
273,0.7065625
274,0.698125
275,0.716875
276,0.6921875
277,0.711875
278,0.7059375
279,0.6953125
280,0.705625
281,0.706875
282,0.7053125
283,0.7109375
284,0.7246875
285,0.72125
286,0.714375
287,0.688125
288,0.68375
289,0.71
290,0.7275
291,0.706875
292,0.703125
293,0.718125
294,0.7171875
295,0.725625
296,0.7203125
297,0.724375
298,0.726875
299,0.7153125
300,0.715
301,0.7253125
302,0.7034375
303,0.7184375
304,0.72125
305,0.7240625
306,0.735
307,0.73
308,0.7
309,0.7253125
310,0.7328125
311,0.72875
312,0.728125
313,0.731875
314,0.73375
315,0.7353125
316,0.73
317,0.70375
318,0.7340625
319,0.726875
