times, acuuracy
0,0.0190625
1,0.021875
2,0.021875
3,0.021875
4,0.021875
5,0.0234375
6,0.01375
7,0.0265625
8,0.031875
9,0.0228125
10,0.0271875
11,0.0303125
12,0.0265625
13,0.0321875
14,0.0296875
15,0.023125
16,0.0503125
17,0.0453125
18,0.038125
19,0.0359375
20,0.051875
21,0.078125
22,0.09125
23,0.1071875
24,0.113125
25,0.0853125
26,0.166875
27,0.18875
28,0.196875
29,0.23
30,0.2128125
31,0.2290625
32,0.2990625
33,0.3234375
34,0.3103125
35,0.3471875
36,0.355
37,0.40375
38,0.4278125
39,0.4590625
40,0.3909375
41,0.4746875
42,0.4859375
43,0.4853125
44,0.5015625
45,0.5334375
46,0.5009375
47,0.5471875
48,0.444375
49,0.50875
50,0.59
51,0.6025
52,0.603125
53,0.599375
54,0.625625
55,0.6278125
56,0.6425
57,0.6428125
58,0.6621875
59,0.6584375
60,0.6465625
61,0.6471875
62,0.6915625
63,0.67375
64,0.6859375
65,0.70125
66,0.6946875
67,0.7059375
68,0.6871875
69,0.6996875
70,0.715625
71,0.7121875
72,0.7196875
73,0.721875
74,0.7225
75,0.695
76,0.7228125
77,0.721875
78,0.7321875
79,0.7378125
80,0.72625
81,0.75625
82,0.7334375
83,0.7453125
84,0.7403125
85,0.7290625
86,0.7425
87,0.741875
88,0.7525
89,0.760625
90,0.75625
91,0.74875
92,0.7546875
93,0.766875
94,0.746875
95,0.7665625
96,0.7559375
97,0.7396875
98,0.76125
99,0.7459375
100,0.77375
101,0.7659375
102,0.7815625
103,0.768125
104,0.77375
105,0.76125
106,0.7834375
107,0.7803125
108,0.76375
109,0.763125
110,0.77875
111,0.775
112,0.783125
113,0.774375
114,0.77125
115,0.76125
116,0.7821875
117,0.78625
118,0.785625
119,0.7721875
120,0.7753125
121,0.786875
122,0.7753125
123,0.78375
124,0.765
125,0.7953125
126,0.7809375
127,0.7746875
128,0.780625
129,0.7671875
130,0.7725
131,0.7884375
132,0.778125
133,0.781875
134,0.7571875
135,0.795625
136,0.780625
137,0.7734375
138,0.79375
139,0.780625
140,0.786875
141,0.79
142,0.7934375
143,0.7959375
144,0.78625
145,0.79125
146,0.80125
147,0.79625
148,0.7878125
149,0.78875
150,0.803125
151,0.785
152,0.7653125
153,0.7984375
154,0.7984375
155,0.7946875
156,0.7715625
157,0.7978125
158,0.78125
159,0.79375
160,0.779375
161,0.7925
162,0.7990625
163,0.7828125
164,0.7925
165,0.7984375
166,0.770625
167,0.800625
168,0.7925
169,0.7990625
170,0.795625
171,0.7921875
172,0.790625
173,0.7934375
174,0.79375
175,0.794375
176,0.7953125
177,0.8059375
178,0.7971875
179,0.7790625
180,0.805625
181,0.795
182,0.800625
183,0.78
184,0.793125
185,0.7890625
186,0.7953125
187,0.78875
188,0.8015625
189,0.7834375
190,0.8015625
191,0.798125
192,0.8046875
193,0.7984375
194,0.8009375
195,0.8059375
196,0.7846875
197,0.796875
198,0.798125
199,0.7875
200,0.8065625
201,0.80375
202,0.8034375
203,0.8090625
204,0.8071875
205,0.7984375
206,0.799375
207,0.799375
208,0.7925
209,0.799375
210,0.8084375
211,0.799375
212,0.8040625
213,0.8053125
214,0.796875
215,0.7975
216,0.80875
217,0.80875
218,0.803125
219,0.80875
220,0.8115625
221,0.8128125
222,0.7734375
223,0.818125
224,0.8040625
225,0.7834375
226,0.8071875
227,0.810625
228,0.79375
229,0.795
230,0.8171875
231,0.795625
232,0.8065625
233,0.8103125
234,0.808125
235,0.804375
236,0.805625
237,0.8065625
238,0.7965625
239,0.805
240,0.8075
241,0.81875
242,0.8075
243,0.8075
244,0.813125
245,0.8059375
246,0.800625
247,0.80125
248,0.8034375
249,0.8046875
250,0.8128125
251,0.8134375
252,0.8028125
253,0.8096875
254,0.8096875
255,0.7878125
256,0.815
257,0.816875
258,0.8128125
259,0.8071875
260,0.81
261,0.8096875
262,0.8084375
263,0.8178125
264,0.8128125
265,0.804375
266,0.8028125
267,0.806875
268,0.81125
269,0.8140625
270,0.7978125
271,0.8140625
272,0.809375
273,0.8153125
274,0.8196875
275,0.8084375
276,0.810625
277,0.818125
278,0.8090625
279,0.8190625
280,0.8171875
281,0.8171875
282,0.82125
283,0.8134375
284,0.8134375
285,0.82125
286,0.82
287,0.8059375
288,0.8134375
289,0.8184375
290,0.8084375
291,0.8171875
292,0.82125
293,0.809375
294,0.80875
295,0.805625
296,0.8065625
297,0.80625
298,0.8009375
299,0.814375
300,0.8203125
301,0.82
302,0.808125
303,0.8190625
304,0.8246875
305,0.818125
306,0.8190625
307,0.8115625
308,0.8121875
309,0.8125
310,0.820625
311,0.8209375
312,0.821875
313,0.8153125
314,0.814375
315,0.8065625
316,0.8190625
317,0.816875
318,0.8209375
319,0.820625
